車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2018/7/1,"5,651 ","8,878 ","18,960 ","43,872 ","13,235 ","9,325 ","6,863 ","3,421 ","2,017 ","6,827 ","1,586 ","2,923 ","8,370 ","5,495 ","8,768 ","4,989 ","6,399 ","3,524 ","6,969 ","3,121 ","4,830 ","5,433 ","2,241 ","16,277 ","2,365 ","10,891 ","7,816 ","12,656 ","14,689 ","14,365 ","7,878 ","32,242 ","15,828 ","21,034 ","26,528 ","4,873 ","27,401 ","19,453 ","17,999 ","16,033 ","10,622 ","166,172 ","34,330 ","15,336 ","17,393 ","23,490 ","30,105 ","23,123 ","19,431 ","7,457 ","20,464 ","5,377 ","6,004 ","12,828 ","5,043 ","2,892 ","1,608 ","7,209 ","7,391 ","5,223 ","39,296 ","6,085 ","10,228 ","5,401 ","15,916 ","14,084 ","24,971 ","36,731 ","30,287 ","18,202 ","26,832 ","73,810 ","12,697 ","30,018 ","28,716 ","14,830 ","49,407 ","13,699 ","12,589 ","7,917 ","13,854 ","8,614 ","23,771 ","10,594 ","9,175 ","9,354 ","16,256 ","15,200 ","13,879 ","17,903 ","6,841 ","7,361 ","3,808 ","2,156 ","4,963 ","6,482 ","7,854 ","11,078 ","12,263 ","17,858 ","21,533 ","9,748 ","8,651 ","8,933 ","8,587 ","9,006 ","6,824 ","6,925 "
2018/7/2,"6,354 ","15,055 ","40,385 ","46,353 ","25,026 ","15,955 ","11,512 ","4,162 ","3,245 ","12,582 ","2,589 ","3,677 ","5,731 ","8,543 ","10,556 ","17,032 ","16,104 ","4,581 ","8,691 ","3,147 ","7,827 ","7,431 ","5,274 ","28,477 ","2,165 ","12,401 ","10,967 ","16,690 ","21,603 ","15,317 ","9,822 ","28,755 ","17,959 ","33,340 ","28,839 ","9,155 ","35,657 ","26,020 ","25,844 ","21,453 ","26,053 ","156,570 ","36,604 ","22,734 ","23,235 ","24,971 ","30,514 ","26,054 ","22,802 ","12,165 ","29,480 ","8,108 ","9,854 ","15,958 ","4,394 ","3,541 ","2,788 ","11,121 ","9,051 ","6,983 ","35,356 ","8,588 ","12,694 ","7,180 ","21,898 ","23,214 ","30,710 ","39,061 ","39,711 ","25,861 ","29,999 ","72,300 ","19,821 ","32,838 ","36,513 ","21,667 ","60,214 ","17,859 ","16,425 ","14,445 ","16,427 ","13,015 ","29,209 ","17,799 ","7,858 ","12,153 ","39,003 ","22,182 ","23,073 ","25,426 ","9,279 ","10,738 ","5,009 ","4,838 ","5,676 ","9,432 ","9,456 ","12,841 ","17,044 ","28,360 ","24,141 ","13,525 ","11,695 ","11,561 ","11,727 ","11,454 ","9,635 ","9,267 "
2018/7/3,"6,569 ","15,782 ","41,324 ","47,799 ","25,577 ","14,876 ","11,796 ","4,261 ","3,224 ","12,637 ","2,672 ","3,772 ","6,952 ","8,713 ","10,699 ","17,309 ","16,535 ","4,979 ","8,951 ","3,351 ","7,838 ","7,698 ","5,447 ","28,867 ","2,130 ","12,563 ","11,194 ","16,155 ","22,140 ","15,572 ","9,957 ","29,771 ","18,711 ","34,542 ","29,514 ","8,929 ","36,695 ","26,893 ","26,072 ","21,855 ","26,034 ","150,679 ","37,466 ","23,154 ","23,411 ","25,810 ","31,432 ","27,142 ","23,214 ","12,296 ","30,121 ","8,018 ","9,954 ","16,031 ","4,565 ","3,679 ","2,946 ","11,119 ","9,115 ","7,204 ","35,351 ","8,603 ","12,677 ","7,185 ","21,338 ","23,757 ","31,120 ","38,589 ","40,322 ","26,184 ","29,107 ","72,443 ","21,153 ","33,142 ","37,626 ","22,582 ","59,978 ","18,716 ","17,004 ","14,293 ","16,461 ","13,458 ","29,046 ","18,400 ","8,101 ","11,734 ","39,237 ","22,724 ","23,725 ","25,837 ","9,060 ","10,432 ","5,108 ","4,932 ","5,899 ","9,449 ","9,388 ","12,745 ","17,148 ","28,418 ","24,458 ","13,801 ","11,772 ","11,854 ","12,137 ","11,511 ","9,639 ","9,493 "
2018/7/4,"6,176 ","15,727 ","41,069 ","49,134 ","23,633 ","15,305 ","11,903 ","4,345 ","3,282 ","12,955 ","2,711 ","3,717 ","7,087 ","8,594 ","10,702 ","17,362 ","16,607 ","5,260 ","8,972 ","3,505 ","8,183 ","7,820 ","5,526 ","29,725 ","2,090 ","12,639 ","11,400 ","16,689 ","21,597 ","15,758 ","10,127 ","30,884 ","18,881 ","34,629 ","28,856 ","9,205 ","36,520 ","27,381 ","26,487 ","22,066 ","26,256 ","152,668 ","38,469 ","23,298 ","23,695 ","26,035 ","31,570 ","25,790 ","23,233 ","12,139 ","31,622 ","8,419 ","10,216 ","16,788 ","4,743 ","3,612 ","2,957 ","11,051 ","9,399 ","7,107 ","35,476 ","8,695 ","12,954 ","7,405 ","21,480 ","24,052 ","31,336 ","39,832 ","41,148 ","26,606 ","29,543 ","73,940 ","21,883 ","33,450 ","38,437 ","23,203 ","61,348 ","19,152 ","17,061 ","14,303 ","16,840 ","13,278 ","29,856 ","18,538 ","8,204 ","12,217 ","39,529 ","22,577 ","24,021 ","26,054 ","8,856 ","10,127 ","5,196 ","4,970 ","5,973 ","9,550 ","9,671 ","13,073 ","17,443 ","29,016 ","24,613 ","13,881 ","12,098 ","11,932 ","12,283 ","11,759 ","9,765 ","9,225 "
2018/7/5,"6,555 ","15,959 ","41,978 ","49,170 ","23,932 ","15,064 ","11,950 ","4,380 ","3,324 ","12,856 ","2,663 ","3,801 ","6,970 ","9,070 ","10,510 ","17,323 ","16,635 ","5,030 ","9,173 ","3,420 ","8,080 ","8,313 ","5,540 ","31,391 ","2,501 ","12,431 ","11,361 ","17,044 ","22,140 ","15,888 ","10,263 ","31,196 ","19,035 ","34,126 ","29,067 ","8,868 ","36,531 ","27,739 ","26,543 ","21,923 ","25,941 ","155,985 ","38,202 ","23,270 ","24,355 ","25,738 ","31,456 ","26,608 ","23,861 ","12,240 ","31,184 ","8,360 ","10,144 ","16,449 ","4,550 ","3,653 ","2,831 ","10,999 ","9,387 ","7,303 ","34,904 ","8,692 ","12,725 ","7,199 ","21,542 ","24,050 ","32,096 ","39,975 ","41,434 ","26,672 ","29,882 ","74,865 ","20,985 ","33,659 ","39,129 ","22,881 ","64,172 ","19,621 ","16,847 ","15,413 ","17,560 ","13,556 ","31,575 ","18,816 ","8,062 ","11,897 ","39,917 ","29,175 ","24,215 ","26,630 ","9,800 ","10,256 ","5,137 ","5,050 ","5,941 ","9,525 ","9,683 ","13,126 ","17,658 ","29,042 ","24,601 ","14,196 ","12,012 ","11,857 ","12,341 ","11,664 ","9,727 ","9,378 "
2018/7/6,"7,385 ","16,729 ","43,225 ","55,016 ","25,866 ","15,481 ","12,583 ","4,670 ","3,448 ","13,200 ","2,757 ","3,864 ","7,477 ","9,135 ","11,621 ","18,017 ","17,305 ","5,428 ","9,718 ","3,610 ","8,447 ","8,456 ","5,561 ","37,160 ","3,193 ","12,806 ","11,949 ","17,615 ","23,362 ","18,147 ","10,755 ","33,900 ","20,266 ","35,467 ","33,460 ","9,153 ","38,576 ","29,097 ","28,530 ","23,023 ","25,461 ","178,335 ","42,728 ","24,110 ","25,354 ","27,553 ","34,003 ","28,315 ","25,012 ","12,795 ","33,095 ","8,708 ","10,981 ","17,514 ","5,336 ","3,769 ","3,105 ","11,229 ","9,646 ","7,548 ","37,984 ","9,092 ","13,827 ","7,701 ","22,541 ","24,529 ","33,980 ","45,431 ","44,090 ","28,032 ","31,530 ","84,008 ","22,265 ","37,676 ","42,817 ","25,126 ","70,772 ","20,683 ","18,556 ","15,547 ","19,804 ","14,347 ","39,737 ","19,661 ","8,776 ","12,972 ","41,177 ","23,500 ","24,690 ","27,678 ","8,793 ","10,987 ","5,463 ","5,123 ","6,510 ","10,185 ","10,535 ","14,662 ","18,531 ","29,833 ","26,955 ","15,050 ","12,923 ","12,671 ","13,176 ","12,554 ","10,068 ","9,866 "
2018/7/7,"5,568 ","10,394 ","24,933 ","54,128 ","17,457 ","10,437 ","8,822 ","4,004 ","2,658 ","9,056 ","2,092 ","3,112 ","7,922 ","6,894 ","10,721 ","6,366 ","7,393 ","4,120 ","8,584 ","3,253 ","6,228 ","6,922 ","3,046 ","49,160 ","2,952 ","10,984 ","9,293 ","14,190 ","16,609 ","16,470 ","9,067 ","31,441 ","17,940 ","26,177 ","27,884 ","4,792 ","32,423 ","22,673 ","21,960 ","18,924 ","12,057 ","183,842 ","39,275 ","19,250 ","17,908 ","24,801 ","31,963 ","25,267 ","21,257 ","9,361 ","25,847 ","6,479 ","7,384 ","13,914 ","5,402 ","3,240 ","1,846 ","7,957 ","8,052 ","6,040 ","35,599 ","6,649 ","11,276 ","6,379 ","17,656 ","17,412 ","29,566 ","42,169 ","33,882 ","21,180 ","29,282 ","86,169 ","15,243 ","34,494 ","36,187 ","20,299 ","62,637 ","15,784 ","15,190 ","9,588 ","18,535 ","9,566 ","40,906 ","13,514 ","8,740 ","10,891 ","20,510 ","17,617 ","16,485 ","19,937 ","7,143 ","8,510 ","4,101 ","2,592 ","5,196 ","7,683 ","9,243 ","12,212 ","14,218 ","20,158 ","23,378 ","11,578 ","10,346 ","10,463 ","10,699 ","10,463 ","7,636 ","8,064 "
2018/7/8,"5,472 ","8,162 ","18,611 ","43,730 ","13,928 ","8,831 ","6,890 ","3,511 ","2,090 ","6,816 ","1,725 ","2,870 ","8,105 ","5,622 ","9,324 ","4,829 ","5,700 ","3,646 ","7,179 ","3,178 ","5,017 ","5,798 ","2,364 ","26,312 ","2,852 ","11,264 ","7,941 ","12,116 ","13,478 ","14,158 ","7,927 ","26,972 ","15,326 ","20,561 ","23,241 ","4,184 ","27,380 ","19,493 ","18,617 ","16,680 ","10,932 ","172,313 ","32,955 ","14,503 ","17,812 ","23,512 ","30,189 ","23,106 ","20,169 ","7,358 ","21,188 ","5,246 ","6,088 ","13,127 ","5,275 ","2,689 ","1,711 ","6,938 ","7,109 ","5,142 ","38,934 ","6,409 ","10,353 ","5,498 ","15,659 ","14,048 ","25,279 ","38,580 ","29,254 ","18,585 ","26,662 ","77,104 ","13,253 ","29,116 ","28,318 ","16,881 ","54,918 ","13,741 ","12,611 ","8,190 ","15,282 ","9,248 ","40,319 ","10,933 ","10,076 ","9,891 ","16,280 ","11,675 ","13,861 ","17,142 ","6,466 ","7,336 ","3,740 ","2,376 ","5,050 ","6,536 ","7,751 ","11,205 ","11,450 ","17,036 ","20,741 ","9,633 ","8,841 ","9,029 ","8,895 ","9,163 ","7,281 ","7,044 "
2018/7/9,"6,462 ","15,554 ","40,169 ","47,884 ","24,967 ","14,907 ","11,455 ","4,257 ","3,151 ","13,055 ","2,662 ","3,854 ","5,486 ","8,740 ","9,910 ","16,991 ","16,306 ","4,669 ","8,791 ","3,478 ","8,076 ","7,664 ","5,423 ","35,597 ","2,993 ","12,198 ","11,120 ","17,293 ","21,776 ","16,748 ","10,269 ","28,593 ","18,525 ","33,638 ","27,218 ","9,223 ","36,036 ","26,674 ","26,871 ","22,282 ","26,134 ","161,516 ","36,711 ","23,504 ","23,212 ","26,103 ","30,440 ","25,384 ","23,084 ","12,535 ","32,144 ","8,281 ","10,033 ","15,772 ","4,131 ","3,602 ","2,883 ","11,676 ","9,303 ","7,311 ","35,098 ","8,633 ","13,227 ","7,528 ","21,370 ","23,823 ","31,474 ","39,705 ","40,871 ","26,494 ","30,118 ","73,427 ","21,175 ","34,305 ","37,443 ","22,327 ","63,082 ","19,170 ","17,200 ","14,776 ","18,281 ","13,216 ","36,506 ","18,107 ","8,648 ","11,705 ","39,197 ","22,015 ","24,059 ","25,648 ","10,582 ","10,231 ","5,235 ","5,096 ","5,856 ","9,448 ","9,747 ","12,922 ","17,253 ","28,518 ","23,394 ","14,082 ","11,821 ","11,841 ","12,398 ","11,893 ","9,964 ","9,300 "
2018/7/10,"4,755 ","12,812 ","35,468 ","34,498 ","21,420 ","12,818 ","10,022 ","3,726 ","2,745 ","10,961 ","2,290 ","2,974 ","4,095 ","6,881 ","7,797 ","16,342 ","16,350 ","4,289 ","7,178 ","2,583 ","6,819 ","6,832 ","5,879 ","25,640 ","2,666 ","9,766 ","9,229 ","14,226 ","18,908 ","13,903 ","8,839 ","21,306 ","14,278 ","27,215 ","22,515 ","7,830 ","30,088 ","22,651 ","23,044 ","19,288 ","22,633 ","114,001 ","27,159 ","18,521 ","18,782 ","18,835 ","18,575 ","18,567 ","19,212 ","9,932 ","25,939 ","6,958 ","8,532 ","12,419 ","3,053 ","2,900 ","2,415 ","9,006 ","7,168 ","6,083 ","23,610 ","7,929 ","10,248 ","5,995 ","17,894 ","20,664 ","24,290 ","31,635 ","34,546 ","22,339 ","22,974 ","50,443 ","17,546 ","25,636 ","27,106 ","17,167 ","47,620 ","16,356 ","14,341 ","12,498 ","13,960 ","10,508 ","22,965 ","15,189 ","6,560 ","9,694 ","34,337 ","18,267 ","20,711 ","19,867 ","7,119 ","8,265 ","4,322 ","4,840 ","4,943 ","8,533 ","7,825 ","10,312 ","14,540 ","25,161 ","18,817 ","11,657 ","10,064 ","10,063 ","10,586 ","10,142 ","8,304 ","7,902 "
